,scientific_name,park_name,observations,category,common_names
4112,Pseudotsuga menziesii var. menziesii,BNP,112,Vascular Plant,"Coast Douglas-Fir, Douglas-Fir"
4113,Pseudotsuga menziesii var. menziesii,GSMNP,74,Vascular Plant,"Coast Douglas-Fir, Douglas-Fir"
4114,Pseudotsuga menziesii var. menziesii,YeNP,246,Vascular Plant,"Coast Douglas-Fir, Douglas-Fir"
4115,Pseudotsuga menziesii var. menziesii,YNP,180,Vascular Plant,"Coast Douglas-Fir, Douglas-Fir"
4116,Solidago hispida,GSMNP,59,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod"
4117,Solidago hispida,YNP,162,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod"
4118,Solidago hispida,YeNP,232,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod"
4119,Solidago hispida,BNP,117,Vascular Plant,"Hairy Goldenrod, Yellow Hairy Goldenrod"
4120,Elgaria multicarinata webbii,BNP,72,Reptile,San Diego (Southern) Alligator Lizard
4121,Elgaria multicarinata webbii,GSMNP,70,Reptile,San Diego (Southern) Alligator Lizard
4122,Elgaria multicarinata webbii,YNP,157,Reptile,San Diego (Southern) Alligator Lizard
4123,Elgaria multicarinata webbii,YeNP,232,Reptile,San Diego (Southern) Alligator Lizard
4124,Sonchus asper,YNP,136,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4125,Sonchus asper,YNP,136,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4126,Sonchus asper,YNP,174,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4127,Sonchus asper,YNP,174,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4128,Sonchus asper,GSMNP,100,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4129,Sonchus asper,GSMNP,100,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4130,Sonchus asper,BNP,115,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4131,Sonchus asper,BNP,115,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4132,Sonchus asper,YeNP,281,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4133,Sonchus asper,YeNP,281,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4134,Sonchus asper,GSMNP,73,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4135,Sonchus asper,GSMNP,73,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4136,Sonchus asper,YeNP,226,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4137,Sonchus asper,YeNP,226,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4138,Sonchus asper,BNP,112,Vascular Plant,"Spiney-Leaved Sonchus, Spiny-Leaf Sowthistle"
4139,Sonchus asper,BNP,112,Vascular Plant,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle"
4140,Pleopeltis polypodioides,BNP,94,Vascular Plant,Resurrection Fern
4141,Pleopeltis polypodioides,YNP,160,Vascular Plant,Resurrection Fern
4142,Pleopeltis polypodioides,GSMNP,49,Vascular Plant,Resurrection Fern
4143,Pleopeltis polypodioides,YeNP,265,Vascular Plant,Resurrection Fern
4144,Arundo donax,YeNP,239,Vascular Plant,Giantreed
4145,Arundo donax,YNP,129,Vascular Plant,Giantreed
4146,Arundo donax,GSMNP,75,Vascular Plant,Giantreed
4147,Arundo donax,BNP,60,Vascular Plant,Giantreed
4148,Trifolium microcephalum,YeNP,243,Vascular Plant,"Littlehead Clover, Smallhead Clover, Small-Head Clover"
4149,Trifolium microcephalum,GSMNP,94,Vascular Plant,"Littlehead Clover, Smallhead Clover, Small-Head Clover"
4150,Trifolium microcephalum,BNP,67,Vascular Plant,"Littlehead Clover, Smallhead Clover, Small-Head Clover"
4151,Trifolium microcephalum,YNP,171,Vascular Plant,"Littlehead Clover, Smallhead Clover, Small-Head Clover"
4152,Polytrichum pallidisetum,GSMNP,87,Nonvascular Plant,Polytrichum Moss
4153,Polytrichum pallidisetum,YeNP,225,Nonvascular Plant,Polytrichum Moss
4154,Polytrichum pallidisetum,YNP,134,Nonvascular Plant,Polytrichum Moss
4155,Polytrichum pallidisetum,BNP,84,Nonvascular Plant,Polytrichum Moss
4156,Hutchinsia procumbens,GSMNP,66,Vascular Plant,"Ovalpurse, Prostrate Hutchinsia"
4157,Hutchinsia procumbens,YNP,192,Vascular Plant,"Ovalpurse, Prostrate Hutchinsia"
4158,Hutchinsia procumbens,YeNP,207,Vascular Plant,"Ovalpurse, Prostrate Hutchinsia"
4159,Hutchinsia procumbens,BNP,115,Vascular Plant,"Ovalpurse, Prostrate Hutchinsia"
4160,Viola labradorica,YNP,172,Vascular Plant,Alpine Violet
4161,Viola labradorica,BNP,119,Vascular Plant,Alpine Violet
4162,Viola labradorica,YeNP,216,Vascular Plant,Alpine Violet
4163,Viola labradorica,GSMNP,71,Vascular Plant,Alpine Violet
4164,Rosa multiflora,GSMNP,105,Vascular Plant,"Multiflora Rose, Rambler Rose"
4165,Rosa multiflora,YNP,157,Vascular Plant,"Multiflora Rose, Rambler Rose"
4166,Rosa multiflora,BNP,95,Vascular Plant,"Multiflora Rose, Rambler Rose"
4167,Rosa multiflora,YeNP,276,Vascular Plant,"Multiflora Rose, Rambler Rose"
4168,Juncus xiphioides,YeNP,267,Vascular Plant,Irisleaf Rush
4169,Juncus xiphioides,BNP,114,Vascular Plant,Irisleaf Rush
4170,Juncus xiphioides,YNP,135,Vascular Plant,Irisleaf Rush
4171,Juncus xiphioides,GSMNP,31,Vascular Plant,Irisleaf Rush
4172,Cystopteris fragilis,YeNP,270,Vascular Plant,"Brittle Bladder Fern, Brittle Bladderfern, Fragile Fern"
4173,Cystopteris fragilis,BNP,92,Vascular Plant,"Brittle Bladder Fern, Brittle Bladderfern, Fragile Fern"
4174,Cystopteris fragilis,YNP,178,Vascular Plant,"Brittle Bladder Fern, Brittle Bladderfern, Fragile Fern"
4175,Cystopteris fragilis,GSMNP,83,Vascular Plant,"Brittle Bladder Fern, Brittle Bladderfern, Fragile Fern"
4176,Cinna latifolia,YeNP,238,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4177,Cinna latifolia,YeNP,238,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4178,Cinna latifolia,BNP,120,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4179,Cinna latifolia,BNP,120,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4180,Cinna latifolia,YNP,137,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4181,Cinna latifolia,YNP,137,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4182,Cinna latifolia,GSMNP,48,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4183,Cinna latifolia,GSMNP,48,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4184,Cinna latifolia,BNP,95,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4185,Cinna latifolia,BNP,95,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4186,Cinna latifolia,YeNP,244,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4187,Cinna latifolia,YeNP,244,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4188,Cinna latifolia,GSMNP,73,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4189,Cinna latifolia,GSMNP,73,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4190,Cinna latifolia,YNP,149,Vascular Plant,"Slender Wood Reedgrass, Woodreed"
4191,Cinna latifolia,YNP,149,Vascular Plant,"Drooping Woodreed, Slender Wood-Reed"
4192,Peromyscus boylii,BNP,102,Mammal,"Brush Deermouse, Brush Mouse"
4193,Peromyscus boylii,GSMNP,42,Mammal,"Brush Deermouse, Brush Mouse"
4194,Peromyscus boylii,YeNP,266,Mammal,"Brush Deermouse, Brush Mouse"
4195,Peromyscus boylii,YNP,157,Mammal,"Brush Deermouse, Brush Mouse"
4196,Thuja occidentalis,YNP,141,Vascular Plant,Northern White Cedar
4197,Thuja occidentalis,GSMNP,95,Vascular Plant,Northern White Cedar
4198,Thuja occidentalis,YeNP,262,Vascular Plant,Northern White Cedar
4199,Thuja occidentalis,BNP,97,Vascular Plant,Northern White Cedar
4200,Carex lanuginosa,YNP,167,Vascular Plant,Woolly Sedge
4201,Carex lanuginosa,BNP,73,Vascular Plant,Woolly Sedge
4202,Carex lanuginosa,GSMNP,54,Vascular Plant,Woolly Sedge
4203,Carex lanuginosa,YeNP,275,Vascular Plant,Woolly Sedge
4204,Carex aquatilis,GSMNP,86,Vascular Plant,Water Sedge
4205,Carex aquatilis,BNP,91,Vascular Plant,Water Sedge
4206,Carex aquatilis,YeNP,248,Vascular Plant,Water Sedge
4207,Carex aquatilis,YNP,135,Vascular Plant,Water Sedge
4208,Juncus triformis,GSMNP,66,Vascular Plant,Yosemite Dwarf Rush
4209,Juncus triformis,YeNP,237,Vascular Plant,Yosemite Dwarf Rush
4210,Juncus triformis,YNP,126,Vascular Plant,Yosemite Dwarf Rush
4211,Juncus triformis,BNP,104,Vascular Plant,Yosemite Dwarf Rush
4212,Brassica nigra,BNP,88,Vascular Plant,"Black Mustard, Shortpod Mustard"
4213,Brassica nigra,GSMNP,83,Vascular Plant,"Black Mustard, Shortpod Mustard"
4214,Brassica nigra,YeNP,257,Vascular Plant,"Black Mustard, Shortpod Mustard"
4215,Brassica nigra,YNP,180,Vascular Plant,"Black Mustard, Shortpod Mustard"
4216,Cicuta maculata,YeNP,240,Vascular Plant,"Spotted Cowbane, Spotted Water-Hemlock"
4217,Cicuta maculata,BNP,74,Vascular Plant,"Spotted Cowbane, Spotted Water-Hemlock"
4218,Cicuta maculata,YNP,166,Vascular Plant,"Spotted Cowbane, Spotted Water-Hemlock"
4219,Cicuta maculata,GSMNP,58,Vascular Plant,"Spotted Cowbane, Spotted Water-Hemlock"
4220,Hieracium argutum,BNP,109,Vascular Plant,Southern Hawkweed
4221,Hieracium argutum,YeNP,239,Vascular Plant,Southern Hawkweed
4222,Hieracium argutum,YNP,152,Vascular Plant,Southern Hawkweed
4223,Hieracium argutum,GSMNP,88,Vascular Plant,Southern Hawkweed
4224,Clethrionomys gapperi,GSMNP,93,Mammal,Southern Red-Backed Vole
4225,Clethrionomys gapperi,YeNP,253,Mammal,Southern Red-Backed Vole
4226,Clethrionomys gapperi,YNP,121,Mammal,Southern Red-Backed Vole
4227,Clethrionomys gapperi,BNP,133,Mammal,Southern Red-Backed Vole
4228,Sanguisorba annua,YeNP,237,Vascular Plant,Prairie Burnet
4229,Sanguisorba annua,YNP,158,Vascular Plant,Prairie Burnet
4230,Sanguisorba annua,BNP,81,Vascular Plant,Prairie Burnet
4231,Sanguisorba annua,GSMNP,82,Vascular Plant,Prairie Burnet
4232,Scapanus latimanus,YNP,105,Mammal,Broad-Footed Mole
4233,Scapanus latimanus,YeNP,244,Mammal,Broad-Footed Mole
4234,Scapanus latimanus,GSMNP,82,Mammal,Broad-Footed Mole
4235,Scapanus latimanus,BNP,95,Mammal,Broad-Footed Mole
4236,Anomodon minor,YeNP,286,Nonvascular Plant,Anomodon Moss
4237,Anomodon minor,BNP,63,Nonvascular Plant,Anomodon Moss
4238,Anomodon minor,GSMNP,65,Nonvascular Plant,Anomodon Moss
4239,Anomodon minor,YNP,167,Nonvascular Plant,Anomodon Moss
4240,Diplazium pycnocarpon,YNP,133,Vascular Plant,Glade Fern
4241,Diplazium pycnocarpon,YeNP,270,Vascular Plant,Glade Fern
4242,Diplazium pycnocarpon,GSMNP,74,Vascular Plant,Glade Fern
4243,Diplazium pycnocarpon,BNP,96,Vascular Plant,Glade Fern
4244,Tiarella cordifolia var. cordifolia,GSMNP,63,Vascular Plant,Foamflower
4245,Tiarella cordifolia var. cordifolia,YeNP,245,Vascular Plant,Foamflower
4246,Tiarella cordifolia var. cordifolia,YNP,162,Vascular Plant,Foamflower
4247,Tiarella cordifolia var. cordifolia,BNP,99,Vascular Plant,Foamflower
4248,Carex texensis,YeNP,221,Vascular Plant,Texas Sedge
4249,Carex texensis,YNP,171,Vascular Plant,Texas Sedge
4250,Carex texensis,BNP,75,Vascular Plant,Texas Sedge
4251,Carex texensis,GSMNP,60,Vascular Plant,Texas Sedge
4252,Elymus villosus,YeNP,272,Vascular Plant,Hairy Wildrye
4253,Elymus villosus,BNP,100,Vascular Plant,Hairy Wildrye
4254,Elymus villosus,YNP,123,Vascular Plant,Hairy Wildrye
4255,Elymus villosus,GSMNP,101,Vascular Plant,Hairy Wildrye
4256,Lilium philadelphicum,YNP,162,Vascular Plant,"Philadelphia Wood Lily, Wood Lily"
4257,Lilium philadelphicum,YeNP,253,Vascular Plant,"Philadelphia Wood Lily, Wood Lily"
4258,Lilium philadelphicum,BNP,98,Vascular Plant,"Philadelphia Wood Lily, Wood Lily"
4259,Lilium philadelphicum,GSMNP,93,Vascular Plant,"Philadelphia Wood Lily, Wood Lily"
4260,Lepomis microlophus,BNP,86,Fish,Redear Sunfish
4261,Lepomis microlophus,YNP,156,Fish,Redear Sunfish
4262,Lepomis microlophus,YeNP,255,Fish,Redear Sunfish
4263,Lepomis microlophus,GSMNP,53,Fish,Redear Sunfish
4264,Ilex montana,BNP,137,Vascular Plant,Mountain Holly
4265,Ilex montana,GSMNP,104,Vascular Plant,Mountain Holly
4266,Ilex montana,YeNP,239,Vascular Plant,Mountain Holly
4267,Ilex montana,YNP,179,Vascular Plant,Mountain Holly
4268,Myadestes townsendi,YeNP,217,Bird,Townsend's Solitaire
4269,Myadestes townsendi,YNP,148,Bird,Townsend's Solitaire
4270,Myadestes townsendi,GSMNP,61,Bird,Townsend's Solitaire
4271,Myadestes townsendi,BNP,125,Bird,Townsend's Solitaire
4272,Setophaga discolor,YNP,136,Bird,Prairie Warbler
4273,Setophaga discolor,BNP,97,Bird,Prairie Warbler
4274,Setophaga discolor,GSMNP,103,Bird,Prairie Warbler
4275,Setophaga discolor,YeNP,260,Bird,Prairie Warbler
4276,Platanthera psycodes,YeNP,258,Vascular Plant,"Small Purple-Fringe Orchis, Small Purple-Fringed Orchid"
4277,Platanthera psycodes,GSMNP,76,Vascular Plant,"Small Purple-Fringe Orchis, Small Purple-Fringed Orchid"
4278,Platanthera psycodes,YNP,122,Vascular Plant,"Small Purple-Fringe Orchis, Small Purple-Fringed Orchid"
4279,Platanthera psycodes,BNP,111,Vascular Plant,"Small Purple-Fringe Orchis, Small Purple-Fringed Orchid"
4280,Polygonum minimum,GSMNP,74,Vascular Plant,"Broadleaf Knotweed, Dwarf Knotweed, Zigzag Knotweed"
4281,Polygonum minimum,YNP,136,Vascular Plant,"Broadleaf Knotweed, Dwarf Knotweed, Zigzag Knotweed"
4282,Polygonum minimum,YeNP,234,Vascular Plant,"Broadleaf Knotweed, Dwarf Knotweed, Zigzag Knotweed"
4283,Polygonum minimum,BNP,90,Vascular Plant,"Broadleaf Knotweed, Dwarf Knotweed, Zigzag Knotweed"
4284,Crepis elegans,GSMNP,72,Vascular Plant,Elegant Hawksbeard
4285,Crepis elegans,YeNP,259,Vascular Plant,Elegant Hawksbeard
4286,Crepis elegans,BNP,133,Vascular Plant,Elegant Hawksbeard
4287,Crepis elegans,YNP,159,Vascular Plant,Elegant Hawksbeard
4288,Epilobium latifolium,YNP,135,Vascular Plant,Dwarf Fireweed
4289,Epilobium latifolium,BNP,101,Vascular Plant,Dwarf Fireweed
4290,Epilobium latifolium,GSMNP,73,Vascular Plant,Dwarf Fireweed
4291,Epilobium latifolium,YeNP,275,Vascular Plant,Dwarf Fireweed
4292,Apocynum androsaemifolium,BNP,102,Vascular Plant,Spreading Dogbane
4293,Apocynum androsaemifolium,BNP,102,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4294,Apocynum androsaemifolium,YNP,154,Vascular Plant,Spreading Dogbane
4295,Apocynum androsaemifolium,YNP,154,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4296,Apocynum androsaemifolium,BNP,73,Vascular Plant,Spreading Dogbane
4297,Apocynum androsaemifolium,BNP,73,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4298,Apocynum androsaemifolium,YeNP,214,Vascular Plant,Spreading Dogbane
4299,Apocynum androsaemifolium,YeNP,214,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4300,Apocynum androsaemifolium,YNP,172,Vascular Plant,Spreading Dogbane
4301,Apocynum androsaemifolium,YNP,172,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4302,Apocynum androsaemifolium,YeNP,306,Vascular Plant,Spreading Dogbane
4303,Apocynum androsaemifolium,YeNP,306,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4304,Apocynum androsaemifolium,GSMNP,109,Vascular Plant,Spreading Dogbane
4305,Apocynum androsaemifolium,GSMNP,109,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4306,Apocynum androsaemifolium,GSMNP,101,Vascular Plant,Spreading Dogbane
4307,Apocynum androsaemifolium,GSMNP,101,Vascular Plant,"Bitterroot, Flytrap Dogbane, Spreading Dogbane"
4308,Synaptomys cooperi,YeNP,235,Mammal,Southern Bog Lemming
4309,Synaptomys cooperi,BNP,77,Mammal,Southern Bog Lemming
4310,Synaptomys cooperi,YNP,183,Mammal,Southern Bog Lemming
4311,Synaptomys cooperi,GSMNP,63,Mammal,Southern Bog Lemming
4312,Plethodon metcalfi,BNP,131,Amphibian,Southern Gray-Cheeked Salamander
4313,Plethodon metcalfi,GSMNP,95,Amphibian,Southern Gray-Cheeked Salamander
4314,Plethodon metcalfi,YNP,160,Amphibian,Southern Gray-Cheeked Salamander
4315,Plethodon metcalfi,YeNP,219,Amphibian,Southern Gray-Cheeked Salamander
4316,Astragalus whitneyi var. whitneyi,YNP,136,Vascular Plant,"Balloonpod Milkvetch, Whitney's Milkvetch"
4317,Astragalus whitneyi var. whitneyi,BNP,105,Vascular Plant,"Balloonpod Milkvetch, Whitney's Milkvetch"
4318,Astragalus whitneyi var. whitneyi,GSMNP,61,Vascular Plant,"Balloonpod Milkvetch, Whitney's Milkvetch"
4319,Astragalus whitneyi var. whitneyi,YeNP,264,Vascular Plant,"Balloonpod Milkvetch, Whitney's Milkvetch"
4320,Rorippa nasturtium-aquaticum,BNP,82,Vascular Plant,"True Watercress, Watercress"
4321,Rorippa nasturtium-aquaticum,BNP,82,Vascular Plant,Watercress
4322,Rorippa nasturtium-aquaticum,BNP,91,Vascular Plant,"True Watercress, Watercress"
4323,Rorippa nasturtium-aquaticum,BNP,91,Vascular Plant,Watercress
4324,Rorippa nasturtium-aquaticum,GSMNP,69,Vascular Plant,"True Watercress, Watercress"
4325,Rorippa nasturtium-aquaticum,GSMNP,69,Vascular Plant,Watercress
4326,Rorippa nasturtium-aquaticum,GSMNP,81,Vascular Plant,"True Watercress, Watercress"
4327,Rorippa nasturtium-aquaticum,GSMNP,81,Vascular Plant,Watercress
4328,Rorippa nasturtium-aquaticum,YeNP,218,Vascular Plant,"True Watercress, Watercress"
4329,Rorippa nasturtium-aquaticum,YeNP,218,Vascular Plant,Watercress
4330,Rorippa nasturtium-aquaticum,YNP,143,Vascular Plant,"True Watercress, Watercress"
4331,Rorippa nasturtium-aquaticum,YNP,143,Vascular Plant,Watercress
4332,Rorippa nasturtium-aquaticum,YNP,163,Vascular Plant,"True Watercress, Watercress"
4333,Rorippa nasturtium-aquaticum,YNP,163,Vascular Plant,Watercress
4334,Rorippa nasturtium-aquaticum,YeNP,253,Vascular Plant,"True Watercress, Watercress"
4335,Rorippa nasturtium-aquaticum,YeNP,253,Vascular Plant,Watercress
4336,Larus delawarensis,BNP,81,Bird,Ring-Billed Gull
4337,Larus delawarensis,YeNP,275,Bird,Ring-Billed Gull
4338,Larus delawarensis,GSMNP,76,Bird,Ring-Billed Gull
4339,Larus delawarensis,YNP,139,Bird,Ring-Billed Gull
4340,Hackelia velutina,YNP,163,Vascular Plant,"Velvet Stickseed, Velvety Stickseed"
4341,Hackelia velutina,BNP,117,Vascular Plant,"Velvet Stickseed, Velvety Stickseed"
4342,Hackelia velutina,YeNP,257,Vascular Plant,"Velvet Stickseed, Velvety Stickseed"
4343,Hackelia velutina,GSMNP,100,Vascular Plant,"Velvet Stickseed, Velvety Stickseed"
4344,Polygonum bistortoides,BNP,148,Vascular Plant,American Bistort
4345,Polygonum bistortoides,YeNP,246,Vascular Plant,American Bistort
4346,Polygonum bistortoides,YNP,136,Vascular Plant,American Bistort
4347,Polygonum bistortoides,GSMNP,84,Vascular Plant,American Bistort
4348,Sphyrapicus nuchalis,YeNP,252,Bird,Red-Naped Sapsucker
4349,Sphyrapicus nuchalis,YNP,108,Bird,Red-Naped Sapsucker
4350,Sphyrapicus nuchalis,BNP,87,Bird,Red-Naped Sapsucker
4351,Sphyrapicus nuchalis,GSMNP,75,Bird,Red-Naped Sapsucker
4352,Carex jonesii,YNP,144,Vascular Plant,"Jones Sedge, Jones' Sedge"
4353,Carex jonesii,YeNP,240,Vascular Plant,"Jones Sedge, Jones' Sedge"
4354,Carex jonesii,BNP,100,Vascular Plant,"Jones Sedge, Jones' Sedge"
4355,Carex jonesii,GSMNP,116,Vascular Plant,"Jones Sedge, Jones' Sedge"
4356,Potentilla biennis,BNP,69,Vascular Plant,Biennial Cinquefoil
4357,Potentilla biennis,YNP,177,Vascular Plant,Biennial Cinquefoil
4358,Potentilla biennis,YeNP,221,Vascular Plant,Biennial Cinquefoil
4359,Potentilla biennis,GSMNP,58,Vascular Plant,Biennial Cinquefoil
4360,Salix drummondiana,GSMNP,62,Vascular Plant,Drummond's Willow
4361,Salix drummondiana,YNP,150,Vascular Plant,Drummond's Willow
4362,Salix drummondiana,YeNP,258,Vascular Plant,Drummond's Willow
4363,Salix drummondiana,BNP,115,Vascular Plant,Drummond's Willow
4364,Podiceps grisegena,YeNP,260,Bird,Red-Necked Grebe
4365,Podiceps grisegena,GSMNP,70,Bird,Red-Necked Grebe
4366,Podiceps grisegena,BNP,74,Bird,Red-Necked Grebe
4367,Podiceps grisegena,YNP,121,Bird,Red-Necked Grebe
4368,Hordeum jubatum,BNP,117,Vascular Plant,Foxtail Barley
4369,Hordeum jubatum,YeNP,234,Vascular Plant,Foxtail Barley
4370,Hordeum jubatum,YNP,149,Vascular Plant,Foxtail Barley
4371,Hordeum jubatum,GSMNP,57,Vascular Plant,Foxtail Barley
4372,Physocarpus malvaceus,YeNP,280,Vascular Plant,Mallow Ninebark
4373,Physocarpus malvaceus,GSMNP,88,Vascular Plant,Mallow Ninebark
4374,Physocarpus malvaceus,BNP,110,Vascular Plant,Mallow Ninebark
4375,Physocarpus malvaceus,YNP,162,Vascular Plant,Mallow Ninebark
4376,Artemisia biennis var. biennis,YNP,148,Vascular Plant,Biennial Wormwood
4377,Artemisia biennis var. biennis,GSMNP,68,Vascular Plant,Biennial Wormwood
4378,Artemisia biennis var. biennis,YeNP,252,Vascular Plant,Biennial Wormwood
4379,Artemisia biennis var. biennis,BNP,50,Vascular Plant,Biennial Wormwood
4380,Chamaecrista fasciculata,YeNP,208,Vascular Plant,"Partridge-Pea, Prairie Senna"
4381,Chamaecrista fasciculata,GSMNP,92,Vascular Plant,"Partridge-Pea, Prairie Senna"
4382,Chamaecrista fasciculata,BNP,85,Vascular Plant,"Partridge-Pea, Prairie Senna"
4383,Chamaecrista fasciculata,YNP,153,Vascular Plant,"Partridge-Pea, Prairie Senna"
4384,Aechmophorus clarkii,YNP,166,Bird,Clark's Grebe
4385,Aechmophorus clarkii,YeNP,244,Bird,Clark's Grebe
4386,Aechmophorus clarkii,BNP,99,Bird,Clark's Grebe
4387,Aechmophorus clarkii,GSMNP,68,Bird,Clark's Grebe
4388,Polygonum pensylvanicum,YNP,137,Vascular Plant,Pennsylvania Smartweed
4389,Polygonum pensylvanicum,GSMNP,57,Vascular Plant,Pennsylvania Smartweed
4390,Polygonum pensylvanicum,YeNP,259,Vascular Plant,Pennsylvania Smartweed
4391,Polygonum pensylvanicum,BNP,98,Vascular Plant,Pennsylvania Smartweed
4392,Dryopteris intermedia,BNP,104,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern"
4393,Dryopteris intermedia,GSMNP,87,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern"
4394,Dryopteris intermedia,YNP,147,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern"
4395,Dryopteris intermedia,YeNP,254,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern"
4396,Salix fragilis,BNP,122,Vascular Plant,Crack Willow
4397,Salix fragilis,YNP,159,Vascular Plant,Crack Willow
4398,Salix fragilis,YeNP,249,Vascular Plant,Crack Willow
4399,Salix fragilis,GSMNP,54,Vascular Plant,Crack Willow
4400,Panicum rigidulum var. rigidulum,YeNP,242,Vascular Plant,Redtop Panicum
4401,Panicum rigidulum var. rigidulum,YeNP,242,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4402,Panicum rigidulum var. rigidulum,YNP,115,Vascular Plant,Redtop Panicum
4403,Panicum rigidulum var. rigidulum,YNP,115,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4404,Panicum rigidulum var. rigidulum,BNP,100,Vascular Plant,Redtop Panicum
4405,Panicum rigidulum var. rigidulum,BNP,100,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4406,Panicum rigidulum var. rigidulum,YeNP,289,Vascular Plant,Redtop Panicum
4407,Panicum rigidulum var. rigidulum,YeNP,289,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4408,Panicum rigidulum var. rigidulum,GSMNP,56,Vascular Plant,Redtop Panicum
4409,Panicum rigidulum var. rigidulum,GSMNP,56,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4410,Panicum rigidulum var. rigidulum,GSMNP,61,Vascular Plant,Redtop Panicum
4411,Panicum rigidulum var. rigidulum,GSMNP,61,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4412,Panicum rigidulum var. rigidulum,BNP,88,Vascular Plant,Redtop Panicum
4413,Panicum rigidulum var. rigidulum,BNP,88,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4414,Panicum rigidulum var. rigidulum,YNP,130,Vascular Plant,Redtop Panicum
4415,Panicum rigidulum var. rigidulum,YNP,130,Vascular Plant,"Redtop Panicgrass, Redtop Panicum"
4416,Setaria pumila,YNP,111,Vascular Plant,Glaucous Foxtail
4417,Setaria pumila,YNP,111,Vascular Plant,"Cattail Grass, Yellow Bristle Grass, Yellow Bristlegrass"
4418,Setaria pumila,YNP,190,Vascular Plant,Glaucous Foxtail
4419,Setaria pumila,YNP,190,Vascular Plant,"Cattail Grass, Yellow Bristle Grass, Yellow Bristlegrass"
4420,Setaria pumila,GSMNP,81,Vascular Plant,Glaucous Foxtail
